Business_Name,Address_City,Business_Category,Business_SubCategory,Approx_Foot_Traffic_Level,Example_Competitor_Names,Address_Area_Locality
Comics Point Mumbai,Mumbai,Bookstore,Comics,Very High,Crossword,Downtown
New Books Hub Ahmedabad,Ahmedabad,Bookstore,New Books,Medium,Landmark,City Center
Cafe Point Ahmedabad,Ahmedabad,Coffee Shop,Cafe,Very High,Starbucks,Near Airport
Used Books Center Bangalore,Bangalore,Bookstore,Used Books,Very High,Crossword,Mall Area
Boutique World Bangalore,Bangalore,Hotel,Boutique,Low,Oberoi,Near Airport
Multispeciality Plaza Ahmedabad,Ahmedabad,Hospital,Multispeciality,Medium,Manipal,Downtown
Casual Dining Center Pune,Pune,Restaurant,Casual Dining,Medium,Pizza Hut,City Center
CrossFit Hub Chennai,Chennai,Gym,CrossFit,Medium,Gold's Gym,Near Airport
Luxury Hub Kolkata,Kolkata,Hotel,Luxury,Very High,Oberoi,Downtown
Wholesale World Kolkata,Kolkata,Supermarket,Wholesale,Very High,D-Mart,Mall Area
Coffee Bar World Kolkata,Kolkata,Coffee Shop,Coffee Bar,Very High,Barista,City Center
Casual Dining Hub Chennai,Chennai,Restaurant,Casual Dining,Medium,Pizza Hut,Downtown
Hair Salon World Chennai,Chennai,Salon,Hair Salon,Low,Toni&Guy,Downtown
Fitness Center Hub Delhi,Delhi,Gym,Fitness Center,High,Gold's Gym,Downtown
Spa Point Ahmedabad,Ahmedabad,Salon,Spa,Low,Toni&Guy,Near Airport
Fast Food Center Hyderabad,Hyderabad,Restaurant,Fast Food,Very High,McDonald's,City Center
Coffee Bar Point Mumbai,Mumbai,Coffee Shop,Coffee Bar,Medium,Starbucks,Near Airport
Retail Plaza Kolkata,Kolkata,Supermarket,Retail,High,D-Mart,Near Airport
Retail Hub Chennai,Chennai,Supermarket,Retail,Very High,Reliance Fresh,Mall Area
Fast Food Center Pune,Pune,Restaurant,Fast Food,Very High,Pizza Hut,Mall Area
Hair Salon Center Pune,Pune,Salon,Hair Salon,Medium,Naturals,City Center
Grocery Point Delhi,Delhi,Supermarket,Grocery,Medium,D-Mart,Suburb
Wholesale Center Ahmedabad,Ahmedabad,Supermarket,Wholesale,High,D-Mart,Mall Area
Hair Salon Center Pune,Pune,Salon,Hair Salon,Medium,Lakme,Mall Area
Cafe Point Ahmedabad,Ahmedabad,Coffee Shop,Cafe,Low,Starbucks,City Center
Spa Plaza Kolkata,Kolkata,Salon,Spa,Low,Lakme,Near Airport
Cafe World Kolkata,Kolkata,Coffee Shop,Cafe,Very High,Cafe Coffee Day,Near Airport
Luxury Plaza Kolkata,Kolkata,Hotel,Luxury,High,Oberoi,Suburb
Spa Plaza Pune,Pune,Salon,Spa,Very High,Naturals,Suburb
Hair Salon World Pune,Pune,Salon,Hair Salon,High,Toni&Guy,Downtown
Boutique Hub Pune,Pune,Hotel,Boutique,Very High,Marriott,Near Airport
Dental Hub Mumbai,Mumbai,Hospital,Dental,Low,Fortis,Near Airport
Boutique Center Hyderabad,Hyderabad,Hotel,Boutique,Low,Oberoi,Suburb
Used Books Plaza Delhi,Delhi,Bookstore,Used Books,High,Sapna Book House,Mall Area
Used Books Plaza Kolkata,Kolkata,Bookstore,Used Books,Very High,Crossword,Suburb
Fine Dining World Kolkata,Kolkata,Restaurant,Fine Dining,Low,Dominos,Mall Area
Luxury Point Delhi,Delhi,Hotel,Luxury,Low,Taj,Mall Area
Beauty Salon Plaza Kolkata,Kolkata,Salon,Beauty Salon,Low,Lakme,Suburb
Luxury Plaza Pune,Pune,Hotel,Luxury,Low,Marriott,Suburb
Dental Center Pune,Pune,Hospital,Dental,High,Manipal,Near Airport
Fine Dining Plaza Ahmedabad,Ahmedabad,Restaurant,Fine Dining,High,Pizza Hut,Near Airport
Luxury World Delhi,Delhi,Hotel,Luxury,High,Taj,Downtown
Retail Center Ahmedabad,Ahmedabad,Supermarket,Retail,Very High,D-Mart,Mall Area
Eye Care Point Pune,Pune,Hospital,Eye Care,High,Fortis,Suburb
Casual Dining Point Delhi,Delhi,Restaurant,Casual Dining,Low,McDonald's,Downtown
Luxury Plaza Hyderabad,Hyderabad,Hotel,Luxury,Very High,Marriott,Near Airport
Casual Dining Center Bangalore,Bangalore,Restaurant,Casual Dining,Very High,Pizza Hut,Mall Area
Grocery Center Chennai,Chennai,Supermarket,Grocery,Very High,D-Mart,Mall Area
Budget World Pune,Pune,Hotel,Budget,Medium,Marriott,Suburb
Grocery Point Mumbai,Mumbai,Supermarket,Grocery,Low,D-Mart,Near Airport
Hair Salon Plaza Chennai,Chennai,Salon,Hair Salon,Low,Lakme,Mall Area
Hair Salon Center Delhi,Delhi,Salon,Hair Salon,Very High,Toni&Guy,Near Airport
Grocery World Bangalore,Bangalore,Supermarket,Grocery,High,D-Mart,City Center
Cafe Center Delhi,Delhi,Coffee Shop,Cafe,Very High,Starbucks,City Center
Used Books Plaza Pune,Pune,Bookstore,Used Books,Medium,Sapna Book House,Near Airport
Budget World Ahmedabad,Ahmedabad,Hotel,Budget,High,Marriott,Suburb
Wholesale Point Chennai,Chennai,Supermarket,Wholesale,Very High,Big Bazaar,Suburb
Yoga Studio Hub Ahmedabad,Ahmedabad,Gym,Yoga Studio,Very High,Anytime Fitness,City Center
CrossFit Center Delhi,Delhi,Gym,CrossFit,Very High,Anytime Fitness,Suburb
Retail Center Chennai,Chennai,Supermarket,Retail,Very High,Big Bazaar,Downtown
Boutique Plaza Chennai,Chennai,Hotel,Boutique,Medium,Oberoi,Near Airport
Retail Center Delhi,Delhi,Supermarket,Retail,Medium,D-Mart,Suburb
Bistro Plaza Pune,Pune,Coffee Shop,Bistro,Medium,Barista,Downtown
Wholesale World Chennai,Chennai,Supermarket,Wholesale,Very High,Big Bazaar,Suburb
Beauty Salon World Kolkata,Kolkata,Salon,Beauty Salon,Low,Naturals,Mall Area
Wholesale Hub Bangalore,Bangalore,Supermarket,Wholesale,Low,Big Bazaar,Suburb
Multispeciality Plaza Hyderabad,Hyderabad,Hospital,Multispeciality,Low,Manipal,Suburb
Dental Center Bangalore,Bangalore,Hospital,Dental,Low,Fortis,Suburb
Yoga Studio Point Delhi,Delhi,Gym,Yoga Studio,High,Gold's Gym,City Center
Grocery World Delhi,Delhi,Supermarket,Grocery,Low,Reliance Fresh,Mall Area
Cafe Point Hyderabad,Hyderabad,Coffee Shop,Cafe,Very High,Barista,Suburb
Hair Salon World Pune,Pune,Salon,Hair Salon,Medium,Naturals,Suburb
Cafe Hub Kolkata,Kolkata,Coffee Shop,Cafe,Very High,Barista,Near Airport
Eye Care Plaza Pune,Pune,Hospital,Eye Care,High,Fortis,Suburb
Fast Food Hub Delhi,Delhi,Restaurant,Fast Food,High,McDonald's,Suburb
Fast Food World Kolkata,Kolkata,Restaurant,Fast Food,Low,McDonald's,Mall Area
Dental World Chennai,Chennai,Hospital,Dental,High,Fortis,Near Airport
Grocery Center Mumbai,Mumbai,Supermarket,Grocery,Medium,D-Mart,Downtown
Luxury Center Bangalore,Bangalore,Hotel,Luxury,Medium,Oberoi,City Center
Fine Dining Point Mumbai,Mumbai,Restaurant,Fine Dining,Very High,Pizza Hut,Downtown
Eye Care Plaza Bangalore,Bangalore,Hospital,Eye Care,Low,Fortis,Mall Area
New Books Hub Delhi,Delhi,Bookstore,New Books,High,Sapna Book House,City Center
Fine Dining Hub Delhi,Delhi,Restaurant,Fine Dining,High,Dominos,Downtown
Beauty Salon Plaza Pune,Pune,Salon,Beauty Salon,Low,Lakme,Suburb
Yoga Studio Point Hyderabad,Hyderabad,Gym,Yoga Studio,Very High,CultFit,City Center
Coffee Bar Point Delhi,Delhi,Coffee Shop,Coffee Bar,High,Barista,City Center
Grocery World Mumbai,Mumbai,Supermarket,Grocery,High,Big Bazaar,Mall Area
Dental World Mumbai,Mumbai,Hospital,Dental,Medium,Fortis,Downtown
Beauty Salon Plaza Pune,Pune,Salon,Beauty Salon,Medium,Lakme,Suburb
Fast Food Plaza Ahmedabad,Ahmedabad,Restaurant,Fast Food,High,Dominos,Mall Area
Budget Hub Pune,Pune,Hotel,Budget,Very High,Oberoi,City Center
Eye Care Center Kolkata,Kolkata,Hospital,Eye Care,Low,Fortis,City Center
Casual Dining Point Kolkata,Kolkata,Restaurant,Casual Dining,Medium,Dominos,Suburb
Hair Salon Center Delhi,Delhi,Salon,Hair Salon,Medium,Toni&Guy,Near Airport
Multispeciality Hub Pune,Pune,Hospital,Multispeciality,High,Manipal,Suburb
Eye Care Plaza Chennai,Chennai,Hospital,Eye Care,High,Manipal,Suburb
Eye Care Hub Hyderabad,Hyderabad,Hospital,Eye Care,High,Fortis,Downtown
Spa Center Chennai,Chennai,Salon,Spa,Very High,Toni&Guy,Mall Area
Fine Dining Center Bangalore,Bangalore,Restaurant,Fine Dining,Low,McDonald's,City Center
Spa Plaza Bangalore,Bangalore,Salon,Spa,Low,Naturals,Downtown
Multispeciality Hub Kolkata,Kolkata,Hospital,Multispeciality,Medium,Manipal,Downtown
Wholesale Hub Kolkata,Kolkata,Supermarket,Wholesale,Medium,Reliance Fresh,Suburb
Boutique Point Pune,Pune,Hotel,Boutique,High,Marriott,City Center
Budget Center Mumbai,Mumbai,Hotel,Budget,Very High,Marriott,City Center
Budget Point Chennai,Chennai,Hotel,Budget,Medium,Marriott,Suburb
Casual Dining Center Mumbai,Mumbai,Restaurant,Casual Dining,High,Dominos,Mall Area
Multispeciality World Mumbai,Mumbai,Hospital,Multispeciality,Very High,Apollo,City Center
Eye Care Hub Kolkata,Kolkata,Hospital,Eye Care,Low,Fortis,Mall Area
Casual Dining World Delhi,Delhi,Restaurant,Casual Dining,High,Pizza Hut,Downtown
Hair Salon Hub Mumbai,Mumbai,Salon,Hair Salon,High,Toni&Guy,Near Airport
Eye Care Plaza Chennai,Chennai,Hospital,Eye Care,Medium,Manipal,Mall Area
Budget Center Ahmedabad,Ahmedabad,Hotel,Budget,High,Marriott,Near Airport
Dental Hub Ahmedabad,Ahmedabad,Hospital,Dental,Very High,Fortis,Suburb
Bistro Plaza Ahmedabad,Ahmedabad,Coffee Shop,Bistro,Medium,Barista,Suburb
Boutique Plaza Mumbai,Mumbai,Hotel,Boutique,Low,Taj,City Center
Bistro Center Mumbai,Mumbai,Coffee Shop,Bistro,High,Barista,Suburb
Casual Dining Plaza Hyderabad,Hyderabad,Restaurant,Casual Dining,Medium,Pizza Hut,Mall Area
Beauty Salon Hub Bangalore,Bangalore,Salon,Beauty Salon,Low,Toni&Guy,Suburb
Eye Care Point Delhi,Delhi,Hospital,Eye Care,Medium,Manipal,Suburb
Eye Care Point Ahmedabad,Ahmedabad,Hospital,Eye Care,Very High,Fortis,Downtown
Coffee Bar Center Hyderabad,Hyderabad,Coffee Shop,Coffee Bar,Low,Cafe Coffee Day,Downtown
Dental Plaza Chennai,Chennai,Hospital,Dental,Medium,Manipal,Suburb
Fine Dining Point Ahmedabad,Ahmedabad,Restaurant,Fine Dining,High,McDonald's,Mall Area
CrossFit Plaza Bangalore,Bangalore,Gym,CrossFit,Very High,Gold's Gym,Near Airport
Yoga Studio Plaza Ahmedabad,Ahmedabad,Gym,Yoga Studio,Very High,Gold's Gym,Downtown
Eye Care Point Bangalore,Bangalore,Hospital,Eye Care,High,Fortis,Suburb
Coffee Bar Plaza Bangalore,Bangalore,Coffee Shop,Coffee Bar,Low,Barista,Downtown
Multispeciality Point Bangalore,Bangalore,Hospital,Multispeciality,Very High,Apollo,Downtown
Budget Plaza Bangalore,Bangalore,Hotel,Budget,Very High,Marriott,Mall Area
Grocery Center Kolkata,Kolkata,Supermarket,Grocery,Medium,Big Bazaar,Near Airport
Dental Point Ahmedabad,Ahmedabad,Hospital,Dental,Medium,Manipal,City Center
Retail World Hyderabad,Hyderabad,Supermarket,Retail,High,D-Mart,Downtown
Bistro Center Mumbai,Mumbai,Coffee Shop,Bistro,Low,Cafe Coffee Day,Suburb
Cafe Point Bangalore,Bangalore,Coffee Shop,Cafe,Medium,Starbucks,Near Airport
Used Books Center Ahmedabad,Ahmedabad,Bookstore,Used Books,Very High,Landmark,Suburb
Yoga Studio Hub Ahmedabad,Ahmedabad,Gym,Yoga Studio,Low,Gold's Gym,Near Airport
Yoga Studio Plaza Chennai,Chennai,Gym,Yoga Studio,Low,Anytime Fitness,City Center
Coffee Bar Point Pune,Pune,Coffee Shop,Coffee Bar,High,Starbucks,Downtown
Multispeciality Point Ahmedabad,Ahmedabad,Hospital,Multispeciality,High,Manipal,Near Airport
Fitness Center World Ahmedabad,Ahmedabad,Gym,Fitness Center,Low,CultFit,Near Airport
Multispeciality World Mumbai,Mumbai,Hospital,Multispeciality,Very High,Manipal,City Center
New Books Center Chennai,Chennai,Bookstore,New Books,Very High,Crossword,Near Airport
Cafe Plaza Bangalore,Bangalore,Coffee Shop,Cafe,Medium,Barista,Suburb
Used Books Point Hyderabad,Hyderabad,Bookstore,Used Books,Low,Landmark,Downtown
Retail Hub Bangalore,Bangalore,Supermarket,Retail,High,D-Mart,Suburb
Luxury Plaza Kolkata,Kolkata,Hotel,Luxury,High,Marriott,Suburb
CrossFit Hub Delhi,Delhi,Gym,CrossFit,Medium,Anytime Fitness,Suburb
Used Books Plaza Chennai,Chennai,Bookstore,Used Books,Low,Landmark,Near Airport
Multispeciality Hub Delhi,Delhi,Hospital,Multispeciality,High,Manipal,City Center
Cafe Point Ahmedabad,Ahmedabad,Coffee Shop,Cafe,High,Cafe Coffee Day,Suburb
Spa Plaza Hyderabad,Hyderabad,Salon,Spa,Low,Naturals,Suburb
CrossFit Center Ahmedabad,Ahmedabad,Gym,CrossFit,Very High,Anytime Fitness,Mall Area
Budget Point Pune,Pune,Hotel,Budget,Very High,Marriott,Mall Area
Used Books Plaza Kolkata,Kolkata,Bookstore,Used Books,High,Sapna Book House,Mall Area
CrossFit World Bangalore,Bangalore,Gym,CrossFit,Medium,Anytime Fitness,Near Airport
Comics World Ahmedabad,Ahmedabad,Bookstore,Comics,Very High,Landmark,Near Airport
Budget Plaza Bangalore,Bangalore,Hotel,Budget,Medium,Marriott,City Center
Used Books Center Delhi,Delhi,Bookstore,Used Books,High,Crossword,Mall Area
Comics World Pune,Pune,Bookstore,Comics,Very High,Sapna Book House,Mall Area
Hair Salon Hub Ahmedabad,Ahmedabad,Salon,Hair Salon,Medium,Toni&Guy,City Center
Fine Dining World Ahmedabad,Ahmedabad,Restaurant,Fine Dining,Very High,Pizza Hut,Suburb
New Books Plaza Bangalore,Bangalore,Bookstore,New Books,Very High,Crossword,City Center
New Books Point Pune,Pune,Bookstore,New Books,High,Landmark,City Center
Grocery World Kolkata,Kolkata,Supermarket,Grocery,Medium,Big Bazaar,Mall Area
Casual Dining Plaza Bangalore,Bangalore,Restaurant,Casual Dining,Low,Dominos,Downtown
Yoga Studio Plaza Kolkata,Kolkata,Gym,Yoga Studio,Very High,Gold's Gym,Downtown
New Books Center Chennai,Chennai,Bookstore,New Books,Low,Crossword,City Center
Wholesale Plaza Delhi,Delhi,Supermarket,Wholesale,Low,Big Bazaar,Near Airport
Casual Dining World Delhi,Delhi,Restaurant,Casual Dining,Medium,Pizza Hut,Downtown
Multispeciality Plaza Bangalore,Bangalore,Hospital,Multispeciality,Low,Manipal,Suburb
Multispeciality Center Pune,Pune,Hospital,Multispeciality,Low,Fortis,Mall Area
Bistro Hub Ahmedabad,Ahmedabad,Coffee Shop,Bistro,Low,Cafe Coffee Day,Suburb
Dental Center Ahmedabad,Ahmedabad,Hospital,Dental,Low,Fortis,Suburb
CrossFit Point Hyderabad,Hyderabad,Gym,CrossFit,Very High,CultFit,Downtown
New Books Point Mumbai,Mumbai,Bookstore,New Books,High,Sapna Book House,City Center
Wholesale Hub Delhi,Delhi,Supermarket,Wholesale,Low,Big Bazaar,Downtown
Eye Care Point Bangalore,Bangalore,Hospital,Eye Care,Medium,Apollo,Near Airport
Multispeciality Plaza Mumbai,Mumbai,Hospital,Multispeciality,High,Fortis,Downtown
Used Books Center Bangalore,Bangalore,Bookstore,Used Books,High,Crossword,Downtown
CrossFit Center Hyderabad,Hyderabad,Gym,CrossFit,Very High,Gold's Gym,Downtown
Bistro Center Chennai,Chennai,Coffee Shop,Bistro,Medium,Starbucks,City Center
Coffee Bar Plaza Chennai,Chennai,Coffee Shop,Coffee Bar,Medium,Barista,Near Airport
New Books Plaza Kolkata,Kolkata,Bookstore,New Books,Medium,Landmark,Near Airport
Spa Plaza Kolkata,Kolkata,Salon,Spa,Low,Lakme,Near Airport
Bistro World Kolkata,Kolkata,Coffee Shop,Bistro,High,Starbucks,Near Airport
Wholesale Center Bangalore,Bangalore,Supermarket,Wholesale,Medium,D-Mart,Downtown
Luxury Plaza Bangalore,Bangalore,Hotel,Luxury,Very High,Marriott,City Center
Coffee Bar World Hyderabad,Hyderabad,Coffee Shop,Coffee Bar,Low,Barista,Mall Area
Fast Food World Kolkata,Kolkata,Restaurant,Fast Food,Medium,McDonald's,Near Airport
Budget World Hyderabad,Hyderabad,Hotel,Budget,Low,Oberoi,Near Airport
Cafe Center Pune,Pune,Coffee Shop,Cafe,High,Cafe Coffee Day,City Center
Retail Point Bangalore,Bangalore,Supermarket,Retail,Very High,D-Mart,Suburb
